"Hiarn gow mee as ooilley my sleih mooinjyr as my chaarjyn[154] fo dty choadey: lhig da dty ainlyn casherick soiaghey ny cabbaneyn oc mygeayrt my lhiabbee, dy voddym, liorish ve dy sauchey er my livrey veih dy chooilley ghaue as dangere jeh’n Oie shoh, as dy gerjoilagh er my ooragh lesh cadley meen; girree reesht ’sy voghrey, cooie dy hirveish oo, [[155]as cur’myn my aght beaghee.] Hiarn clasht rish my phadjeryn, as giall dou m’aghinyn, ny cree [sic: cre] erbee elley share t’ou fakin er my hon, ta mee dy imlee guee er graih Yeesey Creest, ayns yn ennym bannee as ny goan echey, ta mee cur seose ooilley my ’emeyn,[156] gra,","Lord, receive me and all my relations and. friends[157] into thy protection: Let thy holy Angels pitch their tents round [110] about my bed, that being safely delivered from all perils and dangers of this night, and comfortably refreshed with moderate sleep, I may rise in the morning fit for thy Service, [[158]and the duties of my calling.] Lord, hear my prayers, and grant my request, or whatever else Thou seest best for me, I humbly beg for Jesus Christ’s sake, in whose holy name and words I sum up all my wants, saying, ",
"“Ayr ain, t’ayns niau; Casherick dy row dt’ennym. Dy jig dty reeriaght. Dt’aigney dy row jeant er y thalloo, myr te ayns niau. Cur dooin nyn arran jiu as gaghlaa. As leih dooin nyn loghtyn, myr ta shin leih dauesyn ta jannoo loghtyn nyn ’oi. As ny leeid shin ayns miolagh; agh livrey shin veih olk: son lhiats y reeriaght, as y phooar as y ghloyr, son dy bragh as dy bragh.” Amen.","Our Father, &c.",
"[63] Jee yn Ayr, Jee yn Mac, as Jee yn Spyrryd Noo dy bannee eh, dy jean eh coadey as fendeil[159] mee as yn lught-thie shoh, yn oie shoh as er son dy bragh. Amen.","God the Father, God the Son, and God the Holy Ghost, bless, preserve, and keep me and all this Family, this night and evermore. Amen.",
"Tra t’ou lhie sheese ’sy lhiabbee, abbyr, “Nee’ms lhie sheese ayns shee, as goaill fea; son she uss, Hiarn, dty lomarcan, ta coyrt orrym veaghey ayns Sauchys.” Psalm iv. 9.","When you lie down in your bed, say, “I will lay me down in peace, and take my rest; for it is Thou, Lord, only, that makest me to dwell in safety.” Psalm iv. 9.",
PADJER MOGHREY SON LUGHT-THIE.,Morning Prayer for a Family.,
Lhig da Mainshtyr yn Lught-thie goaill toshiaght lesh ny goan shoh:,Let the Master of the Family begin with this Sentence:,
"“O Tar-jee lhig dooin ooashley y choyrt da’n Chiarn, as tuittym sheese, as gliooney kiongoyrt rish y Chiarn y Fer ren shin.” Psalm xcv. 1—2 [sic: 6].","“O come let us worship and fall down, and kneel before the Lord our Maker.” Psalm xcv. 6.",
"Eisht lhig da ooilley gliooney er aght crauee as lhig da mainshtyr-y-thie gra,","Then all devoutly kneeling, let the Master of the Family say,",
"Lhig dooin Padjer y ghoaill,",Let us pray.,
"O YEE ooilley niartal as smoo vyghinagh, ta shin cur booise as moylley imlee dhyts; son dty chiarail ayroil harrin, ayns freayll shin veih ooilley lhag-haghyrtyn yn oie t’er n’gholl[160] shaghey, as dy vel laa elley er ny choyrt liort gys nyn mioys: ta shin ayns shoh chebbal ny anmeenyn as ny callinyn ain gys dty hirveish, gearree dy yannoo ymmyd jeu[161] gys dty ghloyr, as gobbragh magh yn Saualtys ain hene.","O Almighty and most merciful God, we give thee humble thanks and praise for thy fatherly care over us, in preserving us from all evil accidents the night past, and that another day is added to our lives: We here offer up our souls and bodies to thy Service, desiring to employ them to thy glory, and the working out our own Salvation. ",
"Agh, Hiarn, ta fys ayd er annoonid as neu-ghlennid[162] yn dooghys ain, as ny ymmodee miolaghyn ta shin dagh-laa meeteil roo. Ta shin er y fa shen guee ort dy ghoail chymmey jeh[163] ny annoonidyn[164] ain, as dy chur dooin coontey dty spyrryd casherick, dy reayll shin veih peccah, dy ghriennagh[165] shin seose gys nyn gurrym, as dy chooney lhein dy hassoo magh noï ooilley noidyn as cumrailyn y taualtys ain.[166] Cur dooin grayse dy immeeaght myr ayns dty hilley ooilley’n laa,[167] jannoo cooinsheanse jeh nyn raaidjyn, as gyn goaill yn dan ayns [sic: daanys] dy yannoo red erbee dy chur jymmoose[168] ort.","But, Lord, thou knowest the weakness and corruptions of our nature, and the [112] manifold temptations we daily meet with. We beseech Thee therefore to have compassion upon our infirmities, to grant us the assistance of thy blessed Spirit, to restrain us from sin, to stir us up to our duty, and to enable us to withstand all the enemies and hindrances of our Salvation. Give us grace to walk as in thy sight all the day long, making a conscience of our ways, and not daring to do any thing to offend Thee.",
"Cur orrin ve sheelt as crauee ayns nyn ymmyrkey-bea, er nyn arrey harrish ooilley nyn smooinaghtyn, goan as obbraghyn;[169] sheelt[170] ayns bee as jough, jeeragh as ynrick ayns [64] ooilley nyn ghellal, feagh as sheeoil rish nyn naboonyn, as lesh aigney booiagh ayns dy chooilley stayd as aght bea.[171]","Make us serious and holy in our lives, watchful over all our thoughts, words, and actions, temperate in meat and drink, just and upright in all our dealings, quiet and peaceable amongst our neighbours, and contented in every state and condition of life.",
"Agh erskyn ooilley freill ayns ny creeaghyn ain cooinaghtyn breeoil er yn[172] laa mooar as aglagh shen, tra shegin dooin ve er nyn Sumney roish Stoyl-briwnys Chreest, dy choyrt coontey gyere er nyn mea, as dy gheddyn nyn leagh dy bragh farraghtyn, eddyr ayns maynrys ny treihys cordail rish ny ta shin er n’yannoo ’sy challin. O lhig da ve yn chiardail [sic: chiarail] kinjagh ain dy yannoo shin hene cooie as aarloo cour yn seihll ta ry-heet.[173]","But above all, keep in our minds a lively remembrance of that great and solemn day, when we must be summoned before the judgment seat of Christ, to give a strict account of our lives, and to receive our everlasting doom, either to bliss or woe, according to what we have done in this body. O let it be our constant care to fit and prepare ourselves for the world to come.",
"As nish, O Ayr graysoil, ta shin dy imlee guee son dty vannaght orroo shoh ooilley kionfenish, as ooilley ny ta bentyn[174] dooin: lhig da dty Ard-chiarailys vie arrey reayll harrin, as coadey shin, as cur dooin cre erbee t’ou fakin dy ve ymmyrchagh chammah[175] son nyn anmeenyn as nyn gallinyn, er graih as trooid toilchinys dty vac Yeesey Creest, ayns yn ennym smoo casherick as ny goan echey ta shin cur seose ny femeyn ain, gra,","[113]  And now, O gracious Father, we humbly beg thy blessing upon all here present, and all belonging to us: Let thy good Providence watch over us, and preserve us, and grant us whatsoever Thou seest to be needful both for our souls and bodies, for the sake and through the merits of thy Son Jesus Christ, in whose most holy name and words we sum up all our wants, saying,",
"“Ayr ain, t’ayns niau; Casherick dy row dt’ennym. Dy jig dty reeriaght. Dt’aigney dy row jeant er y thalloo, myr te ayns niau. Cur dooin nyn arran jiu as gaghlaa. As leih dooin nyn loghtyn [myr ta shin leih dauesyn ta jannoo loghtyn] nyn ’oi. As ny leeid shin ayns miolagh; agh livrey shin veih olk: son lhiats y reeriaght, as y phooar, as y ghloyr, son dy bragh as dy bragh.” Amen.","“Our Father which art in Heaven, Hallowed be thy name: Thy kingdom come: Thy will be done in earth as it is in Heaven. Give us this day our daily bread, And forgive us our trespasses, as we forgive them that trespass against us. And lead us not into temptation, but deliver us from evil: For thine is the kingdom, the power and the glory, for ever and ever.” Amen.",
"Grayse nyn Jiarn Yeesey Creest, as graih Yee, as sheshagh gerjoil y Spyrryd Noo, dy row mârin ooilley er son dy bragh. Amen.","The grace of our Lord Jesus Christ, and the love of God, and the fellowship of the Holy Ghost, be with us all ever more. Amen.",
PADJER FASTYR SON LUGHT-THIE.,An Evening Prayer for a Family.,
Lhig da Mainshtyr yn lught-thie goaill toshiaght lesh ny goan shoh.,Let the Master of the Family begin with this Sentence:,
"“O Tar-jee lhig dooin ooashley y choyrt da’n Chiarn as tuittym sheese, as gliooney kiongoyrt rish y Chiarn y Fer ren shin. Psalm xcv. 1—2.","“O come, let us worship and fall down, and kneel before the Lord our Maker.”",
"Eisht ooilley goll er nyn glioonyn er aght crauee, lhig da mainshtyr-yn lught-thie, gra,","Then all devoutly kneeling, let the Master of the Family say,",
"Lhig dooin Padjer y ghoaill,",Let us pray.,
"O HIARN Yee smoo gloyroil as dy bragh bannee ta veaghey ayns ny Niaughyn syrjey,[176] ny yeish [sic: ny yeih] schooidsave [65] lhiat dy chur geill da dty chretooryn sinjilley[177] ayns shoh er y thalloo, ta shinyn dty harvaantyn neu-feeu, cheet nish kiongoyrt rhyt er nyn glioonyn dy imlee guee er dty vieys reeoil, er graih dty vac deyr dy ve myghinagh dooin, as dy phardooney as dy leih dooin nyn beccaghyn, son ta shin goaill rish, O Hiarn, dy vel shin dy mennick er yannoo dy ommijagh; dy vel shin er ve kyndagh jeh ny reddyn shen t’ou er chur sarey dooin noï oc,[178] as er ve meerioosagh[179] dy yannoo ny reddyn shen t’ou er sarey[180] shin. O lhig da dty Vyghin t’er nymmyrkey lhein gyss nish,[181] leeideil shin gys Arrys; dy vod shin treigeil ny lurg shoh ny drogh raaidyn ain, as chyndaa hoods nyn Jiarn Jee. <!!> 6498, 6639 <photographs>","O most glorious and ever-blessed Lord God, who dwellest in the highest Heavens, yet vouchsafest to regard the lowest creatures here on earth, we thine unworthy servants, now come before Thee upon our knees, humbly beseeching Thy Majesty, for the sake of Thy beloved Son, to be merciful to us, and pardon and forgive us our sins; for we acknowledge, O Lord, that we have many times acted foolishly. That we have done those things which Thou hast forbidden, and have neglected to do those [115] things which Thou hast commanded. Let that Mercy of Thine, which has spared us thus long, lead us to repentance; that we may henceforth forsake our evil ways, and turn unto Thee the Lord our God.",
"Cur dooin grayse, O Hiarn, dy ghoaill dy dowin gys nyn Gree yn obbyr vooar t’ain dy yannoo, as gairridys [sic: gerrid as] neu-hickyrys yn traa t’ain dy yannoo ayn eh, nagh jean mayd barail ny laghyn ain ayns Peccah as fardalys, ny soiagh ny creeaghyn ain wheesh er y seihll shoh, as dy ve meerioosagh jeh as lhiggey shaghey yn gheill vooar lhisagh ve ain da nyn anmeenyn: agh lhig dooin jannoo eh yn ard-chiarail ain dy hirveish as dy wooiys oo, as dy yannoo aarloo cour yn Stayd dy bragh farraghtyn ain.","Give us grace, O Lord, seriously to consider the great work we have to do, and the shortness and uncertainty of the Time we have to do it in, that we may not consume our days in sin and vanity, nor set our hearts so much upon this world, as to neglect the great concerns of our souls; but let us make it our chief care to serve and please thee, and to provide for our eternal state.",
"Agh, O Hiarn, ta shin goalll [sic: goaill] Padjer cha nee son ain hene ny lomarcan, agh son dy chooilley Chreestee; er lheh son yn agglish as yn ashoon shoh; bannee yn Ree, as ooilley’n kinney reeoil. Bannee yn Saggyrt t’ou er hoiagh harrin, as cur bannaght er yn laboraght echey gys Saualtys nyn anmeenyn. Bannee ooilley nyn gaarjyn, as leih da ooilley nyn noidyn: chyndaa yn Peccagh, gerjee adsyn ta ching as fo seaghyn, as dy ghooidsave lhiat dy chiarail son y chloan gyn ayr as y ven-treoghe.","But, O Lord, we pray not for ourselves alone, but for all Christians; especially for this Church and Nation, Bless the King, and all the Royal Family. Bless the Minister whom Thou hast set over us, and prosper his labours to the Salvation of our souls. Bless all our friends, and forgive all our enemies: Convert the sinner, comfort the Sick and Afflicted, and be pleased to provide for the Fatherless and the Widow.",
"As nish, O Ayr vyghinagh, jean soiagh, ta shin guee ort, jeh nyn mooise smoo imlee as creeoil, son ooilley dty vyghinyn veih traa dy traa er ny stowal orrin; son y Bun oc ooilley, yn Yeesey bannee; as son ooilley bannaghtyn yn chionnaghey reesht ain, son soilshey’n sushtal, son gerjaghyn dty Spyrryd bannee, as yn jercal rish gloyr dy braa beayn. Ta shin cur moylley dhyt myrgeddin son leeideilys yn resoon ain, son nyn meaghey as coamrey, son nyn niart as slaynt; as er lheh son dty Arrey chiaralagh harrin yn laa jiu. As ta shin dy imlee guee ort dy hannaghtyn dty vyghinyn hooin, as dy ghoaill shin yn oie shoh fo dty chiarail as dty choadey. Jean fendeil yn cummal shoh, as ooilley mygeayrt-y-mysh, [66] veih aile, sterrym as dorrin; as veih dy chooilley lhag[‑]haghyrt. Livrey shin veih pooar as goanlys drogh Spyrrydyn as freill shin ass laueyn Deiney mee-chrauee; as lhig dooin goll gys yn fea ain ayns sauchys as ayns shee yn derrey yeh rish y jeh elley.","And now, O merciful Father, accept, [116] we beseech Thee, of our most humble and hearty thanks for all thy mercies from time to time vouchsafed to us; for the fountain of them all, the holy Jesus, and for all the benefits of our redemption, for the light of the Gospel, for the comforts of thy blessed Spirit, and the hopes of eternal glory. We praise Thee also for the use of our Reason, for our Food and Raiment, for our Health and Strength; and particularly for thy watchful Care and good Providence over us this day. And we humbly beseech Thee to continue thy mercies to us, and to take us this night into thy Care and Protection. Defend this Habitation, and all about it, from Fire, Storm, and Tempest; and from every sad accident. Deliver us from the Power and Malice of evil spirits, and keep us out of the hands of wicked men; and let us go to our rest in safety, and in peace with one another.",
"Jean shin, O Hiarn, ta shin guee ort, lught-thie crauee as casherick, goaill aggle royd, as graihagh er y-cheilley; as giall dy vod mayd beaghey cooidjagh lheid y lught-thie sheeoil as crauee ooilley nyn laghyn, dy vod mayd, tra nee yn baase shin y scarrey veih my cheilley ayns shoh er y thalloo, meeteil reesht ayns Niau; as ayns shen beaghey cooidjagh ayns boggey as maynrys son dy bragh as dy bragh.","Lastly, Make us, O Lord, we beseech Thee, an holy and religious household, fearing Thee, and loving one another; and grant that we may live together such a peaceable and godly Family all our [117] Days, that when death shall separate us from each other here on earth, we may meet again in Heaven, and there dwell together in joy and happiness for evermore.",
"O Hiarn clasht rooin, as jean soiagh jeu shoh nyn Badjeryn as booise, er graih Yeesey Creest nyn saualtagh as fer-kionnee bannit, t’er n’ynsagh shin tra ta shin goaill Padjer dy ghra;","O Lord, hear us, and accept of these our prayers and praises, for the sake of our blessed Saviour and Redeemer, Jesus Christ, who hath taught us when we pray to say,",
"“Ayr ain, t’ayns niau; Casherick dy row dt’ennym. Dy jig dty reeriaght. Dt’aigney dy row jeant er y thalloo, myr te ayns niau. Cur dooin nyn arran jiu as gaghlaa. As leih dooin nyn loghtyn, myr ta shin leih dauesyn ta jannoo loghtyn nyn ’oi. As ny leeid shin ayns miolagh; agh livrey shin veih olk: son lhiats y reeriaght, as y phooar, as y ghloyr, son dy bragh as dy bragh.” Amen.","“Our Father, which art in Heaven, Hallowed be Thy Name: Thy Kingdom come: Thy will be done in Earth as it is in Heaven. Give us this day our daily bread, And forgive us our trespasses, as we forgive them that trespass against us. And lead us not into temptation, but deliver us from evil: For thine is the Kingdom, the power and the glory, for ever and ever.” Amen.",
"Grayse nyn Jiarn Yeesey Creest, as graih Yee, as sheshaght gerjoil y Spyrryd Noo, dy row mârin ooilley er son dy bragh. Amen.","The grace of our Lord Jesus Christ, and the love of God, and the fellowship of the Holy Ghost, be with us all evermore. Amen.",
Oltaghey roish lhongey.,Grace before Meat.,
"HIARN bannee ad shoh dty chretooryn mie gys yn ymmyd ain, as shinyn gys dty hirveish, trooid Yeesey Creest nyn Jiarn. Amen.","Lord, bless these thy good Creatures to our use, and us to thy service, through Jesus Christ our Lord. Amen.",
Oltaghey lurg lhongey.,Grace after Meat.,
"SON oc shoh as ooilley e vyghinyn elley, dy row ennym casherick Yee er ny vannaghey as er ny voylley, trooid Yeesey Creest nyn Jiarn. Amen.","For these, and all other His mercies, God’s holy name be blessed and praised, through Jesus Christ our Lord. Amen.",
,,
,,
Padjer coyr shenn Phersoon.,A Prayer for an aged Person.,
"O AYR dy vyghinyn, as Jee jeh dy chooilley gherjagh, yn ynrycan kemmyrk ain ayns traa seaghyn as annoonid: [67] Jeeagh neose, ta mee guee ort, lesh chymmey as erreeish orryms dty harvaant seaghnit, yn niart aym nish nagh vel agh toilgeil [sic: tooilleil] as trimshey, as ta mee casley rish unnane jeusyn ta goll sheese gys yn oaie: myr smoo ta’n dooinney er cheu-mooie goll naardey, jean uss niartagh mee wheesh shen smoo dy kinjagh lesh dty ghrayse as Spyrryd casherick ayns yn dooinney er cheu[‑]stie. Ta mee goaill rish lesh trimshey, dy vel mee er ve kyndagh jeh immodee peccaghyn rish whilleen bleiyn, as dy vel kiarailyn as pleasallyn yn seihll shoh er ghoaill seose rouyr jeh’n traa shen, lhisagh ve ceaut ayns dty hirveish, as obbyr vooar myhaualtys [sic: my haualtys].","O Father of mercies, and God of all comfort, our only support in time of trouble and weakness: Look down, I beseech Thee, with pity and compassion upon me, thy afflicted servant, whose strength is now but labour and sorrow, and who am like to one of those who go down into the grave; the more the outer man decayeth, do thou strength[119]en me so much the more continually with thy grace and Holy Spirit in the inner man. I confess with sorrow, that many have been the sins which I have committed in so long a course of years, and that the cares and pleasures of this world have taken up too much of that time, which should have been employed in thy service, and the great work of my Salvation.",
"Agh, O Hiarn, Yee graysoil, mayrts ta myghin, as marish dty vac Yeesey ta chionnaghey reesht palchey. O ny coinee [sic: cooinee] er y fa shen er peccaghyn as loghtyn m’aegid, agh giall dou arrys firrinagh son ooilley faileillyn [sic: failleilyn] as shaghrynys my vea t’er n’holl [sic: n’gholl] shaghey, as credjue shickyr ayns dty Vac Yeesey, dy vod my Pheccaghyn ve dollit ass liorish dty vyghin, as my phardoon veshickyrit [sic: ve shickyrit] ayns Niau, roish my vaagym yn seihll shoh as nagh beem arragh er ny akin. Cha vel fys aym, O Hiarn, caid schooidsave lhiat dy jean ym tannaghtyn ayns shoh er y thalloo; ny yeih son wheesh as ayns dy chooilley chaslys, dy vel traa yn phaartail aym tayrn er gerrey, O Niartee mee dy cheau yn traa beg t’aym foast er mayrn, ayns jannoo mee hene cooie as aarloo cour oor y vaaish, dy vod m’annym, lurg dou v’er n’aagail, yn seihll shoh ayns shee, as ayns dty oayr, ve goït stiagh ayns reeriaght dy bragh farraghtyn trooid toilchinys as lhiasaghey Yeesey Creest, dty ynrycan Vac nyn Jiarn as Saualtagh. Amen.","But, O gracious Lord God, with Thee there is mercy, and with thy Son Jesus there is plenteous Redemption. O remember not therefore the sins and offences of my youth, but grant me unfeigned repentance for all the errors of my past life, and stedfast faith in thy Son Jesus, that my sins may be done away by thy mercy, and my pardon sealed in Heaven, before I go hence, and am no more seen. I know not, O Lord, how long it may please Thee to continue my abode here on earth; yet forasmuch as in all appearance the time of my dissolution draweth near, O enable me to spend what little of my time is yet remaining in fitting and preparing myself against the hour of death: that after my departure hence in [120] peace, and in thy favour, into thine everlasting kingdom through the merits and mediation of Jesus Christ, thine only Son our Lord and Saviour. Amen.",
,,
,,
"Padjer da sharvaant, ny Persoon aeg dy ve goit Moghrey as ec yn Oie.","A Prayer for a Servant, or a young Person, to be used Morning and Evening.",
"O HIARN Yee ooilley niartal, ta er n’ynsagh mee, dy nee traa m’aegid yn traa share cour dty hirveish, as obbyr yn chredjue, O croym shees my chree nish dy chooinaght ort my Er-croo, dy ghoaill aggle royd, as dy hirveish oo, as dy ordrail my raaidyn cordail rish dty Ghoo casherick: O Giall dou cooney dty Spyrryd casherick, dy niartagh mee dy yannoo ny reddyn shen ren mee gialdyn ec my vashtey; dy voddym chea veih Sayntyn neughlen ny foalley; nagh bee’m dy [68] bragh er my leeideil liorish miolagh erbee gys vondeish ny pleasal, dy yannoo dy mee-chrauee, as brasnagh dty chorree m’oï; agh streeu dy reayll dt’annaghyn gys Jerrey my Vea.","O almighty Lord God, who hast taught me, that the time of youth is the most acceptable to enter into thy service, and the work of religion; O incline my heart now to remember Thee my Creator, to fear and serve Thee, and to order my ways according to thine holy word; O grant me the assistance of thy blessed Spirit, to enable me to do those things which I promised at my Baptism: that I may abstain from impure and fleshly lusts: that I may never be led by any temptations of profit or pleasure to do wickedly, and provoke thy wrath against me; but may endeavour to keep all thy commandments unto my life’s end.",
"Bannee m’ayr as my voir [ny my Vainshtyr] as ynsee dou dy ymmyrkey mee hene dy curmagh as dy arrymagh huc. Cur orrym ve sheelt as fo smaght, glen as casherick ayns ooilley my smooinaghtyn as jannoo, toiggal dy mie dy vel dty hooill dy kinjagh harrym, “t’ou uss mygeayrt my lhiabbee, as mygeayrt my chassan, as fakin ooilley my raaidyn;” as dy negin d’ou [sic: dou] coontey choyrt er ooilley ny ta mee gra as jannoo, roish stoyl briwnys Chreest.","[121]  Bless my Parents, [or Master] and teach me to behave myself dutifully and reverently towards them. Make me sober and temperate, chaste and holy in all my thoughts and actions, well knowing that thine eye is always over me, who art about my bed and about my path, and spiest out all my ways; and that I must give an account of all I say or do before the judgment-seat of Christ.",
"O Giall dy voddym leeideil my vea lurg aght cha chiarailagh as crauee ayns shoh, tra nee’m faigail [sic: faagail] yn seihll shoh dy heet kiongoyrt rhyts ayns seihll elley, dy voddym coontey mie y choyrt jee’m pene, as ve goït gys dty oayr as reeriaght bannit, trooid Yeesey Creest nyn Jiarn. Amen.","O grant that I may live in such a careful and. godly manner here, that when I depart hence to appear before Thee in the other world, I may give a good account of myself and be received into thy favour and the kingdom of Heaven, through Jesus Christ our Lord. Amen.",
"“Ayr ain, t’ayns niau; Casherick dy row dt’ennym. Dy jig dty reeriaght. Dt’aigney dy row jeant er y thalloo, myr te ayns niau. Cur dooin nyn arran jiu as gaghlaa. As leih dooin nyn loghtyn, myr ta shin leih dauesyn ta jannoo loghtyn nyn ’oi. As ny leeid shin ayns miolagh; agh livrey shin veih olk.” Amen.","Our Father, &c.",
,,
"Lurg Padjer y Chiarn, abbyr shoh ’sy voghrey.","After the Lord’s Prayer, say this in the Morning.",
"BANNIT dy row dt’ennym, O Hiarn ta er choyrt lesh mee dy sauchey gys toshiaght y laa shoh, jean mee y choadey yn chooid elley jeh: giall dou slaynt as niart dy yannoo’n obbyr huggey ta mee er m’eam. Cur orrym ve tarroogh as jeidagh ayn, as bannee yn goll magh as yn cheet stiaght aym, yn laa shoh as er son dy bragh. Amen.","Blessed be thy Name, O Lord, who hast brought me safely to the beginning of this day; preserve me the remainder of it; grant me health and strength to do the work of my calling. Make me [122] diligent and faithful in it, and bless me in my going out and m coming in, this day and evermore. Amen.",
’Syn astyrn [sic: astyr] jean jerrey yannoo lesh shoh.,In the Evening conclude with this:,
"O HIARN, lhig da dty vannaght tannaghtyn orrym as er ooilley t’ayns y thie shoh; Cur dty ainlyn casherick dy endeil as dy choadey shin veih dy chooilley olk as dangeryn, yn oie shoh ar [sic: as] er son dy bragh. Amen.","O Lord, let thy blessing rest upon me and all within this house: send thy holy Angels to preserve and protect us from all evils and dangers, this night and evermore. Amen.",
,,
,,
[69],,
"Padjeryn da lhiannoo aeg, moghrey as fastyr,",Prayer for a little Child; Morning and Evening.,
"’Sy voghrey ynsee yn lhiannoo dy ghra,","In the Morning teach the Child to say,",
"BANNIT dy row dt’ennym, O Hiarn Yee, ta er reayll mee dy sauchey veih dangereyn yn oie t’er n’holl [sic: n’gholl] shaghey: jean mee as ooilley’n lught-thie shoh y choadey yn chooid elley jeh’n laa shoh, er graih Yeesey Chreest nyn Jiarn. Amen.","Blessed be thy Name, O Lord God, who hast kept me safe from the dangers of the night past: preserve me and all this house the remainder of this day, for the sake of Jesus Christ our Lord. Amen.",
"“Ayr ain, &c.","Our Father, &c.",
"Ec yn Oie ynsee da’n lhiannoo dy ghra shoh,",At Night teach the Child to say this:,
"O HIARN gys dty vyghin as dty choadey smoo graysoil ta mee chymney mee hene, my ayr as my voir, my vraaraghyn as shaaraghyn yn oie noght as er son dy bragh. Amen.","O Lord, unto thy most gracious mercy and protection, I commit myself, my Father and Mother, Brethren and Sisters, this night and evermore. Amen. ",
"“Ayr ain, &c.","Our Father, &c.",
,[123],
"Myr ta’n lhiannoo gaase ayns eash, lhig da gra yn Phadjer shoh moghrey as fastyr.","As the Child grows up, let this Prayer be used Morning and Evening.",
"O HIARN Yee as saualtagh smoo graihagh, ta er harey cloan veggey dy v’er ny chur lhieu hood, as ren goaill ad seose ayns dty roihaghyn, hug dty laueyn orroo as vannee ad; jeeagh dy graysoil orrym’s, dty lhiannoo, as bannee mee; jean mee y choadey [yn laa shoh, ny’n oie shoh] veih dy chooilley olk as dangere chammah jeh corp as annym. Cur dou, O Yee, ny t’ou fakin mie er my hon, er-skyn-ooilley cree dy gheddyn toiggal jeed dy leah, dy chur graih dhyt as dy chooilleeney dty Aigney; Bannee my ayr as my voir, my vraaraghyn as shaaraghyn: giall dy voddym ve bio dy ve gerjagh da my ayr as my voir, as myr ta mee gaase ayns eash, dy voddym gaase ayns grayse, as ayns dty oayr, as ve jeant cooie fei-yerrey dy ve maynrey mayrts’ [sic: mayrt’s] ayns Niau er son dy bragh as dy bragh: As shoh ta mee guee er graih Yeesey Creest my haualtagh. Amen.","O Lord God and most loving Saviour, who commandest that little children should come unto thee, and didst take them up in thine arms, and lay thine hands upon them, and bless them: look graciously upon me thy child, and bless me: preserve me [say this day, or this night] from all evil and danger both of body and soul. Give me, O God, what thou seest good for me, especially an heart to know Thee early, to love Thee, and to do thy will: Bless my Father and my Mother, my Brethren and Sisters: Grant that I may live to be a comfort to my Parents, and as I grow in years, may grow in grace and in thy favour; and may be fit at length to be made happy with Thee in Heaven for evermore. And this I beg for the sake of Jesus Christ my Saviour. Amen.",
"“Ayr ain, t’ayns Niau: &c.","Our Father, &c.",
"Er laa’n Chiarn ’sy voghrey, abbyr shoh marish ny Padjeryn elley ayns y lught-thie.",On the Lord’s Day in the Morning add this to your other Prayer in the Family.,
"O HIARN, ta er casherickey yn laa mie shoh gys dty hirveish hene, cur dooin grayse myr shen dy reayll eh, dy [70] vod eh ve shiaghtin vie dooin, as nagh jean veg jeh dty vriwnyssyn tuittym orrin son brishey eh[;] soie ayns ny creeaghyn ain yn firrinys mooar shoh, nagh vel ain ayns shoh ynnyd dy hannaghtyn ayn; dy vod mayd dy sheelt as ayns traa cooie kiarail son bea elley: As giall dy vod yn obbyr vooar shoh cur orrin ve feer aggindagh dy ynsagh nyn gurrym, as dy yannoo ny tou uss dy harey dooin: As bannit dy row Jee dy vel kialteenyn ain dy gholl huc; dy vel traa ain dy hirveish nyn Fer-croo; dy vel Saggyrtyn ain dy ynsagh shin. Dy jean y Chiarn bishagh yn laboraght oc, as cur dooin grayse dy ve ny share lioroo, dy vod ad as shinyn goaill soylley jeh doonaght dy bragh farraghtyn marish dty nooghyn ayns Niau, er graih Yeesey Creest. Amen.","O Lord, who hast consecrated this good day to thy service, give us grace so to observe it, that it may be the beginning of a happy week to us, and that none of thy judgments may fall upon us for profaning it. Fix in our hearts this great truth, that here we have no abiding place, that we may seriously and timely provide for another life: grant that this great concern may make us very desirous to learn our duty, and to do what thou requirest of us: And blessed be God that we have Churches to go to; that we have time to serve our Creator; that we have Ministers to teach us. The Lord prosper their labours and give us grace to profit by them, that they and we may enjoy an everlasting Sabbath with thy Saints in Heaven, for Jesus Christ’s sake. Amen.[182]",
,[125],
"Ec yn cheet ayd hoshiaght gys y cheeill, glioon sheese as abbyr.","At your first coming into the Church, kneel down and say,",
"O Hiarn, lhig dou mee hene y ymmyrkey ayns shoh ayns dty chionfenish[183] gloyroil lesh arrym as aggle crauee. “Lhig da goan my veeal, as smooinaghtyn my chree: ve dy kinjagh booisal ayns dty hilley, O Hiarn, my niart as my Er-kionnee.” Psalm xix. 14—15.","O Lord, let me behave myself here in thy glorious presence with reverence and godly fear. “And let the words of my mouth, and the meditations of my heart, be acceptable in thy sight, O Lord, my Strength and my Redeemer.” Psalm xix. last verse.",
Ec goll ass y cheeill.,At going out of the Church.,
"Jean soiagh, O Hiarn, jeh’n aght faase as neu-feu shoh jeh cooilleeney my churrym hood; as giall dy voddyms as ooilley dty phobble t’ayns shoh y ve, cha nee clashtyn rish ny lomarcan agh jeantee jeh dty ghoo er graih Yeesey Creest. Amen.","Accept, O Lord, of this unworthy performance of my duty to Thee, and grant that I, and all thy people here, may not only be Hearers, but Doers of the Word, for Jesus Christ’s sake. Amen.",
,,
"Er laa’n Chiarn ’syn astyr, abbyr shoh marish ny Padjeryn elley ayns dty lught-thie.","On the Lord’s Day in the Evening, add this to your other Prayer in the Family.",
